2015/7/ âàä›íËê¸äCómäœë™åãâ í≤ç∏àıÅFéôã ëÙç∆
Ozaki Tsubakijima
STN_NAME OZ00 OZ05 OZ10 OZ20 OZ30 OZ40 OZ50 OZ70 STN_NAME TS00 TS05 TS10 TS20 TS30 TS40 TS50 TS70
LAT 39-15 39-15 39-15 39-15 39-15 39-15 39-15 39-15 LAT 38-56 38-56 38-56 38-56 38-56 38-56 38-56 38-56
LONG 141-59 142-05 142-11 142-24 142-37 142-50 143-03 143-30 LONG 141-44 141-50 141-57 142-10 142-23 142-35 142-48 143-14
DATE 7/8 7/11 7/11 7/11 7/10 7/10 7/10 7/10 DATE 7/8 7/8 7/8 7/8 7/8 7/8 7/8 7/8 
START_TIME 8:23 2:39 1:58 0:56 23:49 22:39 21:30 19:24 START_TIME 10:34 11:02 11:37 12:37 13:44 14:54 15:58 18:01
STOP_TIME 8:26 2:44 2:07 1:05 23:59 22:51 21:41 19:34 STOP_TIME 10:37 11:06 11:42 12:47 13:59 15:01 16:14 18:08
WATER_COLOR 4 WATER_COLOR 4 4 4 4 4 4 3 3
TRANSP 17 TRANSP 10 15 18 14 16 16 25
AIR_TEMP 17.1 15.9 16.4 16.9 19.7 21.0 21.0 21.0 AIR_TEMP 17.8 17.5 17.7 18.0 18.3 18.1 19.3 19.6
CLOUD_A 10 CLOUD_A 9 8 10 10 10 10 10
WIND_D ENE SW SSW SW SSW SSW SW WSW WIND_D ENE NE NE NE NNE N NNE SE
WIND_F 2.7 1.6 4.4 4.8 5.9 6.3 4.9 5 WIND_F 5.7 4.9 3.1 3.1 2.9 3.3 2.5 1.8
A_PRESS 1017.1 1012.6 1012.4 1012.6 1013.0 1013.3 1013.8 1014.0 A_PRESS 1016.6 1016.6 1016.9 1016.8 1017.2 1017.5 1017.3 1017.8
TEMP TEMP
0m 15.3 16.6 16.7 17.3 18.6 20.5 20.6 20.7 0m 17.2 16.6 16.9 17.2 17.9 17.9 19.8 20.6
10m 14.69 15.89 16.26 15.49 17.42 20.42 20.51 20.74 10m 15.48 15.89 16.32 16.13 17.31 17.20 19.78 20.78
20m 13.18 15.16 14.82 14.20 14.35 20.15 19.96 20.31 20m 14.68 15.38 15.52 14.95 14.96 16.28 19.67 20.50
30m 12.47 14.11 13.54 12.11 12.05 18.98 18.02 20.10 30m 13.95 14.67 14.55 14.49 12.25 14.52 19.63 20.07
50m 11.73 13.47 12.64 11.15 11.53 13.32 16.61 17.52 50m 13.05 12.73 13.68 12.75 10.68 12.18 14.80 16.83
75m none 11.87 11.22 8.03 10.75 11.14 12.64 16.20 75m none 12.10 11.03 10.61 9.71 10.20 10.76 15.28
100m none 11.33 10.99 8.00 9.62 10.54 12.16 14.74 100m none 11.70 10.47 9.89 9.35 9.27 10.39 13.76
150m none 10.61 10.76 6.09 7.41 8.77 10.23 12.37 150m none none 9.89 8.75 7.83 7.24 9.38 11.71
200m none none 8.91 5.24 6.29 7.51 8.86 10.41 200m none none none 7.43 6.70 6.30 8.01 10.12
300m none none 4.47 4.04 4.90 4.65 6.85 7.94 300m none none none 5.20 6.49 4.83 4.76 6.74
SAL SAL
0m 33.426 33.670 33.263 33.203 33.533 34.151 34.304 34.232 0m 33.392 33.739 33.798 33.617 33.557 33.543 34.226 34.178
10m 33.405 33.680 33.554 33.286 33.578 34.167 34.315 34.200 10m 33.468 33.723 33.797 33.748 33.569 33.510 34.178 34.167
20m 33.496 33.691 33.892 33.560 33.511 34.276 34.312 34.583 20m 33.548 33.675 33.876 33.622 33.470 33.505 34.188 34.269
30m 33.471 33.667 33.894 33.294 33.716 34.258 34.063 34.608 30m 33.643 33.783 33.826 33.812 33.598 33.520 34.250 34.427
50m 33.757 33.832 33.975 33.696 34.138 34.154 34.394 34.607 50m 33.732 33.610 33.903 33.802 33.849 33.898 34.315 34.549
75m none 33.878 33.994 33.498 34.147 34.176 34.224 34.606 75m none 33.824 33.770 34.052 33.935 33.956 33.838 34.544
100m none 33.973 34.009 33.753 34.022 34.156 34.312 34.522 100m none 33.887 33.939 34.012 33.948 33.929 33.993 34.394
150m none 33.973 34.017 33.576 33.741 33.952 34.152 34.340 150m none none 33.943 33.882 33.768 33.703 34.031 34.278
200m none none 33.890 33.550 33.634 33.828 33.980 34.164 200m none none none 33.718 33.675 33.612 33.898 34.125
300m none none 33.498 33.526 33.686 33.620 33.904 33.887 300m none none none 33.537 33.880 33.600 33.597 33.738
